doc_id,chunk_id,question,answer,text,is_gold
INTC/2015/page_41.pdf-4,6,"berapa persen dari total fasilitas yang disewa, diukur dalam kaki persegi?",14%,"Context: luar as, kami memiliki fasilitas pembuatan wafer di irlandia, israel, dan cina. fasilitas manufaktur kami di irlandia telah beralih ke teknologi proses 14nm kami, dengan manufaktur terus ramp pada tahun 2016. selain itu, pada paruh kedua tahun 2016, kami akan mulai menggunakan fasilitas kami di dalian, cina untuk membantu memperluas kapasitas manufaktur kami dalam memori generasi berikutnya. fasilitas perakitan dan pengujian kami terletak di malaysia, cina, dan vietnam. selain itu, kami memiliki kantor penjualan dan pemasaran di seluruh dunia yang umumnya terletak di dekat konsentrasi besar pelanggan. kami percaya bahwa fasilitas yang dijelaskan di atas cocok dan cukup untuk tujuan kami saat ini dan bahwa kapasitas produksi di fasilitas kami secara substansial digunakan atau kami memiliki rencana untuk menggunakannya. kami tidak mengidentifikasi atau mendistribusikan aset per segmen operasi. untuk informasi tentang properti bersih, pabrik dan peralatan menurut negara, lihat 201ccatatan 26 : segmen operasi dan informasi geografis 201d di bagian ii, item 8 formulir 10 - k ini. posisi 3. pengadilan untuk pembahasan proses hukum,",False
INTC/2015/page_41.pdf-4,7,"berapa persen dari total fasilitas yang disewa, diukur dalam kaki persegi?",14%,"Context: pabrik dan peralatan menurut negara, lihat 201ccatatan 26 : segmen operasi dan informasi geografis 201d di bagian ii, item 8 formulir 10 - k ini. posisi 3. pengadilan untuk pembahasan proses hukum, lihat 201ccatatan 25 : contingencies 201d di bagian ii, item 8 formulir 10 - k ini. posisi 4. pengungkapan keselamatan tambang tidak berlaku..",False
ADI/2011/page_61.pdf-2,0,apa perubahan persentase hedge arus kas pada tahun 2011 dibandingkan dengan tahun 2010?,9.9%,"Question: apa perubahan persentase hedge arus kas pada tahun 2011 dibandingkan dengan tahun 2010? Evidence: the total notional amounts of derivative instruments designated as hedging instruments as of october 29 , 2011 and october 30 , 2010 were $ 375 million of interest rate swap agreements accounted for as nilai wajar hedges and $ 153.7 million and $ 139.9 million , respectively , of arus kas hedges denominated in euros , british pounds and analog devices , inc .",True
ADI/2011/page_61.pdf-2,1,apa perubahan persentase hedge arus kas pada tahun 2011 dibandingkan dengan tahun 2010?,9.9%,"Context: lindungan yang tidak ditunjuk adalah $ 412 juta dan $ 421 juta, masing - masing. nilai wajar instrumen lindung nilai ini dalam neraca konsolidasi perusahaan 2019 pada tanggal 29 oktober 2011 dan 30 oktober 2010 tidak signifikan. pengelolaan eksposisi tingkat bunga 2014 pada 30 juni 2009, perusahaan melakukan transaksi swap suku bunga terkait dengan nota - nota senior tidak terjamin yang masih tersisa sebesar 50 % ( 50 % ) dimana perusahaan menukar jumlah nominal utang suku tetap sebesar $ 375 juta pada 50 % ( 50 % ) menjadi utang suku bunga yang fluktuatif hingga 1 juli 2014. di bawah ketentuan swap, perusahaan ( i ) akan menerima pembayaran bunga tahunan sebesar 50 % ( 50 % ) atas jumlah nominal $ 375 juta yang dibayarkan dalam dua cicilan setiap 1 januari dan juli, dimulai pada 1 januari 2010 hingga dan berakhir pada tanggal jatuh tempo ; dan ( ii ) membayar uang tunai nominal $ 375 juta sebesar libor tahunan tiga bulan ditambah 25 % ( 205 ) % ( 42 % ( 242 % ) pada tanggal 29 oktober 2011 )",False
ADI/2011/page_61.pdf-2,2,apa perubahan persentase hedge arus kas pada tahun 2011 dibandingkan dengan tahun 2010?,9.9%,"Context: tempo ; dan ( ii ) membayar uang tunai nominal $ 375 juta sebesar libor tahunan tiga bulan ditambah 25 % ( 205 ) % ( 42 % ( 242 % ) pada tanggal 29 oktober 2011 ) pembayaran bunga, dibayarkan dalam empat cicilan setiap 1 januari, april, juli dan oktober, dimulai pada 1 oktober 2009 dan berakhir pada tanggal jatuh tempo. suku bunga berbasis libor ditetapkan setiap kuartal tiga bulan sebelum tanggal pembayaran bunga. perusahaan menunjuk swap ini sebagai hedge nilai wajar. nilai wajar swap pada awal adalah nol dan perubahan berikutnya pada nilai wajar swap suku bunga tercermin dalam nilai bersih swap suku bunga pada neraca. nilai bersih utang di neraca telah disesuaikan dengan jumlah yang sama dan pengimbangi. keuntungan atau kerugian pada item yang di lindungi ( yaitu pinjaman bermata uang tetap ) yang disebabkan oleh risiko suku bunga benchmark yang di lindungi dan keuntungan atau kerugian kompensasi pada swap suku bunga terkait untuk tahun fiskal 2011 dan 2010 adalah sebagai berikut : laporan pendapatan. statement of income classification : other income, statement",False
ADI/2011/page_61.pdf-2,3,apa perubahan persentase hedge arus kas pada tahun 2011 dibandingkan dengan tahun 2010?,9.9%,"Context: benchmark yang di lindungi dan keuntungan atau kerugian kompensasi pada swap suku bunga terkait untuk tahun fiskal 2011 dan 2010 adalah sebagai berikut : laporan pendapatan. statement of income classification : other income, statement of income loss on swaps : $ - 4614 ( 4614 ), statement of income gain on note : $ 4614, statement of income laba bersih effect : $ 2014, statement of income gain on swaps : $ 20692, loss on note : $ - 20692 ( 20692 ), laba bersih effect : $ 2014 jumlah yang diperoleh dan berutang di bawah perjanjian swap diperhitungkan setiap periode dan dicatat dalam biaya bunga. tidak ada ketidakefektifannya yang diakui dalam periode yang disajikan. risiko pasar yang terkait dengan instrumen derivatif perusahaan 2019 adalah hasil dari pergerakan nilai tukar mata uang atau suku bunga yang diharapkan akan mengimbangi risiko pasar transaksi, aset dan liabilitas yang didedikasikan. kontra - partai terhadap perjanjian yang berkaitan dengan instrumen derivatif perusahaan 2019 terdiri dari sejumlah lembaga keuangan internasional besar dengan peringkat kredit",False
ADI/2011/page_61.pdf-2,4,apa perubahan persentase hedge arus kas pada tahun 2011 dibandingkan dengan tahun 2010?,9.9%,"Context: bunga yang diharapkan akan mengimbangi risiko pasar transaksi, aset dan liabilitas yang didedikasikan. kontra - partai terhadap perjanjian yang berkaitan dengan instrumen derivatif perusahaan 2019 terdiri dari sejumlah lembaga keuangan internasional besar dengan peringkat kredit yang tinggi. berdasarkan peringkat kredit dari mitra kami pada tanggal 29 oktober 2011, kami tidak percaya bahwa ada risiko yang signifikan dari ketidakpatuhan mereka. selain itu, tidak ada transaksi derivatif perusahaan 2019 yang tertakluk pada jaminan atau pengaturan sekuritas lainnya dan tidak ada yang berisi ketentuan yang bergantung pada peringkat kredit perusahaan 2019 dari lembaga peningkat kredit manapun. sementara kontrak atau jumlah nominal instrumen keuangan derivatif memberikan satu ukuran dari volume transaksi ini, mereka tidak mewakili jumlah eksposur terhadap risiko kredit perusahaan pada tahun 2019. jumlah yang berpotensi terkena risiko kredit ( berasal dari kemungkinan ketidakmampuan kontrah parties untuk memenuhi syarat kontrak mereka ) umumnya terbatas pada jumlah, jika ada, di mana kewajiban kontrah parties 2019 di bawah kontrak melebihi kewajiban perusahaan terhadap kontrah parties. sebagai akibat dari pertimbangan di atas, perusahaan tidak menganggap risiko",False
ADI/2011/page_61.pdf-2,5,apa perubahan persentase hedge arus kas pada tahun 2011 dibandingkan dengan tahun 2010?,9.9%,"Context: ) umumnya terbatas pada jumlah, jika ada, di mana kewajiban kontrah parties 2019 di bawah kontrak melebihi kewajiban perusahaan terhadap kontrah parties. sebagai akibat dari pertimbangan di atas, perusahaan tidak menganggap risiko default kontra kontra itu signifikan. perusahaan mencatat nilai wajar instrumen keuangan derivatifnya dalam laporan keuangan konsolidasi dalam aset arus lainnya, aset lain atau liabilitas terakreditasi, tergantung pada posisi bersih mereka, terlepas dari tujuan atau niat untuk memegang kontrak derivatif. perubahan nilai wajar instrumen keuangan derivatif diakui secara berkala dalam pendapatan atau pada ekuitas pemegang saham 2019 sebagai komponen dari oci. perubahan nilai wajar dari hedges arus kas dicatat dalam oci dan diklasifikasikan kembali menjadi laba ketika kontrak yang mendasarinya berakhir. perubahan nilai wajar dari derivatif yang tidak memenuhi syarat untuk akuntansi lindung nilai dilaporkan dalam laba saat terjadi. total jumlah nominal instrumen derivatif yang ditunjuk sebagai instrumen lindung nilai pada tanggal 29 oktober 2011 dan 30 oktober 2010 adalah $ 375 juta dari perjanjian swap suku bunga yang dihitung sebagai lindung nilai wajar dan $ 1537 juta dan",False
ADI/2011/page_61.pdf-2,6,apa perubahan persentase hedge arus kas pada tahun 2011 dibandingkan dengan tahun 2010?,9.9%,"Context: instrumen derivatif yang ditunjuk sebagai instrumen lindung nilai pada tanggal 29 oktober 2011 dan 30 oktober 2010 adalah $ 375 juta dari perjanjian swap suku bunga yang dihitung sebagai lindung nilai wajar dan $ 1537 juta dan $ 1399 juta, masing - masing, dari lindung nilai arus kas yang diidentifikasi dalam euro, poundsterling inggris dan perangkat analog, inc. catatan laporan keuangan konsolidasi 2014 ( terlanjut ).",False
FIS/2010/page_70.pdf-2,0,berapa bagian dari total harga pembelian yang terkait dengan penghargaan saham?,2.9%,Question: berapa bagian dari total harga pembelian yang terkait dengan penghargaan saham? Evidence: value of metavante saham biasa the value of metavante stock awards of $ 4066.4 is 121.4 ; value of metavante saham biasa the total purchase price of $ 4066.4 is $ 4187.8 ;,True
FIS/2010/page_70.pdf-2,1,berapa bagian dari total harga pembelian yang terkait dengan penghargaan saham?,2.9%,"Context: ketua dan direktur dewan fis serta ketua dewan lps. efektif 1 maret 2010, mr. kennedy dan perusahaan sepakat bahwa dia tidak akan lagi melayani sebagai eksekutif dan direktur perusahaan dan anak perusahaannya. oleh karena itu, item pendapatan dan pengeluaran dengan lps diringkas di atas sebagai aktivitas pihak terkait hingga 1 maret 2010. kami percaya jumlah yang diperoleh dari atau dikenai oleh kami di bawah masing - masing pengaturan di atas adalah adil dan wajar. kami percaya pengaturan layanan kami harga dalam kisaran harga yang kami tawarkan kepada pihak ketiga. namun, jumlah yang kami peroleh atau yang dikenakan di bawah pengaturan ini tidak diperdebatkan pada tahun 2019, dan mungkin tidak mewakili persyaratan yang mungkin kami dapatkan dari pihak ketiga yang tidak terkait. operasi yang berhenti 2014 kegiatan pihak terkait hingga 2 juli 2008, lps menyediakan sejumlah layanan kepada fnf yang sekarang disajikan sebagai operasi yang berhenti. layanan ini termasuk layanan agen kepemilikan, layanan pengembangan perangkat lunak, layanan terkait real estat dan layanan pembagian biaya lainnya. kegiatan ini termasuk dalam pendapatan bersih dari operasi yang dihentikan. ( 5 )",False
FIS/2010/page_70.pdf-2,2,berapa bagian dari total harga pembelian yang terkait dengan penghargaan saham?,2.9%,"Context: yang berhenti. layanan ini termasuk layanan agen kepemilikan, layanan pengembangan perangkat lunak, layanan terkait real estat dan layanan pembagian biaya lainnya. kegiatan ini termasuk dalam pendapatan bersih dari operasi yang dihentikan. ( 5 ) akuisisi hasil operasi dan posisi keuangan entitas yang diperoleh selama tahun - tahun berakhir 31 desember 2010, 2009 dan 2008 dimasukkan dalam laporan keuangan konsolidasi mulai dan setelah tanggal akuisisi. tidak ada akuisisi signifikan pada tahun 2010 dan 2008. metavante pada 1 oktober 2009, kami menyelesaikan akuisisi metavante ( 201cmetavante akuisisi 201d ). metavante memperluas skala pemrosesan dan kemampuan pembayaran fis core, menambahkan layanan pemrosesan kepercayaan dan manajemen kekayaan dan menambah kemampuan eft kami dengan jaringan nyce. metavante juga menambah skala yang signifikan untuk penawaran keuangan dan manajemen kas dan memberikan akses ke pasar perawatan kesehatan dan pembayaran pemerintah. menurut perjanjian dan rencana penggabungan tanggal 31 maret 2009, metavante menjadi anak perusahaan milik penuh dari fis. setiap saham biasa metavante yang dikeluarkan dan yang belum dikeluarkan, dengan nilai nominal $",False
FIS/2010/page_70.pdf-2,3,berapa bagian dari total harga pembelian yang terkait dengan penghargaan saham?,2.9%,"Context: pemerintah. menurut perjanjian dan rencana penggabungan tanggal 31 maret 2009, metavante menjadi anak perusahaan milik penuh dari fis. setiap saham biasa metavante yang dikeluarkan dan yang belum dikeluarkan, dengan nilai nominal $ 001 per saham, dikonversi menjadi 135 saham fis biasa. selain itu, opsi saham metavante yang luar biasa dan penghargaan berbasis saham lainnya dikonversi menjadi opsi saham fis dan penghargaan berbasis saham lainnya yang dapat dibandingkan dengan rasio konversi yang sama. total harga pembelian adalah sebagai berikut ( dalam juta ) :. value of metavante saham biasa : value of metavante stock awards, $ 4066. 4 : 121. 4. value of metavante saham biasa : total purchase price, $ 4066. 4 : $ 4187. 8 kami mencatat alokasi awal harga pembelian untuk metavante aset tidak berwujud dan identifikasi yang diperoleh dan liabilitas yang diasumsikan berdasarkan nilai wajar mereka yang diperkirakan pada 1 oktober 2009. goodwill adalah fidelity nasional layanan informasi, inc. anak perusahaan mencatat laporan keuangan",False
FIS/2010/page_70.pdf-2,4,berapa bagian dari total harga pembelian yang terkait dengan penghargaan saham?,2.9%,"Context: tidak berwujud dan identifikasi yang diperoleh dan liabilitas yang diasumsikan berdasarkan nilai wajar mereka yang diperkirakan pada 1 oktober 2009. goodwill adalah fidelity nasional layanan informasi, inc. anak perusahaan mencatat laporan keuangan konsolidasi 2014 ( terus % % transmsg * * * pekerjaan pengiriman : g26369 pcn : 064000000 * * * % pcmsg.",False
MAS/2017/page_27.pdf-2,0,apa perbedaan persentase kumulatif total pengembalian saham masco biasa terhadap indeks s&p 500 untuk periode lima tahun berakhir 2017?,,Question: apa perbedaan persentase kumulatif total pengembalian saham masco biasa terhadap indeks s&p 500 untuk periode lima tahun berakhir 2017? Evidence: the masco of 2013 is $ 138.48 ; the masco of 2014 is $ 155.26 ; the masco of 2015 is $ 200.79 ; the masco of 2016 is $ 227.08 ; the masco of 2017 is $ 318.46 ; the s&p 500 index of 2013 is $ 132.04 ; the s&p 500 index of 2014 is $ 149.89 ; the s&p 500 index of 2015 is $ 151.94 ; the s&p 500 index of 2016 is $ 169.82 ; the s&p 500 index of 2017 is $ 206.49 ;,True
MAS/2017/page_27.pdf-2,1,apa perbedaan persentase kumulatif total pengembalian saham masco biasa terhadap indeks s&p 500 untuk periode lima tahun berakhir 2017?,,"Context: grafik kinerja tabel di bawah ini membandingkan total komulatif pengembalian pemegang saham pada saham biasa kami dengan total pengembalian kumulatif dari ( i ) indeks saham komposit 500 standar & poor ' s ( indeks "" s & p 500 "" ), ( ii ) indeks industri standar & poor ' s ( indeks "" s & p industrials "" ) dan ( iii ) indeks konsumen durables & apparel standar & poor ' s ( indeks consumer durables & apparel "" "" ), dari 31 desember 2012 hingga 31 desember 2017, ketika harga penutupan saham biasa kami adalah $ 4394. grafik ini mengasumsikan investasi sebesar $ 100 pada 31 desember 2012 di saham biasa kami dan di masing - masing dari tiga indeks dan reinvestasi dividen. tabel di bawah ini menunjukkan nilai, pada tanggal 31 desember untuk setiap tahun yang ditunjukkan, investasi $ 100 yang dilakukan pada tanggal 31 desember 2012 di setiap saham biasa kami, indeks s & p 500, indeks industrials s & p dan indeks consumer durables",False
MAS/2017/page_27.pdf-2,2,apa perbedaan persentase kumulatif total pengembalian saham masco biasa terhadap indeks s&p 500 untuk periode lima tahun berakhir 2017?,,"Context: untuk setiap tahun yang ditunjukkan, investasi $ 100 yang dilakukan pada tanggal 31 desember 2012 di setiap saham biasa kami, indeks s & p 500, indeks industrials s & p dan indeks consumer durables & apparel s & p dan termasuk reinvestment dividen. : masco, 2013 : $ 138. 48, 2014 : $ 155. 26, 2015 : $ 200. 79, 2016 : $ 227. 08, 2017 : $ 318. 46. : s & p 500 index, 2013 : $ 132. 04, 2014 : $ 149. 89, 2015 : $ 151. 94, 2016 : $ 169. 82, 2017 : $ 206. 49. : s & p industrials index, 2013 : $ 140. 18, 2014 : $ 153. 73, 2015 : $ 149. 83, 2016 : $ 177. 65, 2017 : $ 214. 55. : s & p consumer durables & apparel index, 2013 : $ 135. 84,",False
MAS/2017/page_27.pdf-2,3,apa perbedaan persentase kumulatif total pengembalian saham masco biasa terhadap indeks s&p 500 untuk periode lima tahun berakhir 2017?,,"Context: $ 149. 83, 2016 : $ 177. 65, 2017 : $ 214. 55. : s & p consumer durables & apparel index, 2013 : $ 135. 84, 2014 : $ 148. 31, 2015 : $ 147. 23, 2016 : $ 138. 82, 2017 : $ 164. 39 $ 50. 00 $ 100. 00 $ 150. 00 $ 200. 00 $ 250. 00 $ 300. 00 $ 350. 00 indeks masco s & p 500 indeks industri s & p indeks konsumen bahan tahan lama & pakaian.",False
SYY/2006/page_71.pdf-1,0,berapa persentase perubahan total biaya sewa dalam kontrak sewa operasi dari 2 juli 2005 hingga 1 juli 2006?,7%,"Question: berapa persentase perubahan total biaya sewa dalam kontrak sewa operasi dari 2 juli 2005 hingga 1 juli 2006? Evidence: total rental beban under operating leases was $ 100690000 , $ 92710000 , and $ 86842000 in fiscal 2006 , 2005 and 2004 , respectively .",True
